Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
;;Men's Wear;SHQ;Mobile Web
;;Toys & Activities;SHQ;Desktop Web
At delivery point;;Maternity;SHQ;Konga App
;;Mobile Phones;KWK;Desktop Web
the delivery;;Mobile Phones;KWK;Desktop Web
;whe. Ordering from other stores shipping fee is way to expensive and discouraging,i had to pay #3000 for an item worth #6000 ,totally unacceptable,i woildnt wabt to shop here ayain;Fragrances;SHQ;Konga App
none;Shipping fees can sometimes be unreasonable. I should not pay one thousand for shipping for lagos and also pay one thousand for shipping from Abuja if my location is Abuja. That isn't fair;Small Appliances;SHQ;Desktop Web
At point of delivery;Adjust your delivery/shipping fee. It is astronomcally high. Please, review it downwards.   Thank you;Mobile Phones;SHQ;Desktop Web
;Your website is extremely slow in displaying items ;Housekeeping & Pet Supplies;SHQ;Desktop Web
I've never had a delivery made. Reason I could not share my experience by providing some feedback;Call, text or mail Customers if orders are not going to be delivered. I've made several orders that were never delivered. I'm sure you're disposed to generating more revenue;Phone and Tablet Accessories;SHQ;Desktop Web
Shipping;Communication gap;Large Appliances;SHQ;Desktop Web
After delivery, to my surprise the product is not same size  as logically described.Konga had printed another brand name to defend this fraud;I bought a Samsung RT31 fridge and it was described as 310litres..What I got is a RT25 which is a 255litres fridge. I still don't know why you excite us with fraudulent promos.;Large Appliances;KWK;Desktop Web
;;Mobile Phones;SHQ;Mobile Web
Point of Delivery - Express delivery of goods took almost 3 days to reach me.;;Televisions;KWK;Desktop Web
At the point of filling in my bank details, didn't know what cvc meant. And when I was asked to pay 1000 for delivery cause my item was small;I feel Konga should be able to state the specific day to deliver as we order, and my item looks already opened;Computing Accessories;SHQ;Desktop Web
No point at all  ;The delivery prices should be reduced and Konga will be excellent;Large Appliances;SHQ;Konga App
I am not confident the sellers will always have an item and then my money becomes store credit. Hence, I like to choose pay on delivery. If the seller disappoints then I will still have my money.;Ratings for sellers to build consumer trust and confidence.;Books;SHQ;Mobile Web
Waiting for the product;NA;Networking;SHQ;Desktop Web
;;Mobile Phones;KWK;Desktop Web
Nothing ;Please try to see that the products you will shipping is in good order ;Tablets;KWK;Konga App
Nil;Considerate shipping charges and introducing Business trivia which attract prizes.;Small Appliances;SHQ;Desktop Web
None;Gud day everyone,my comment goes this way,pls I think it wl b good if a customer ordered more than 1item at tym,d delivery fee suppose to be reduce,meaning there has to b difference in delivery fee of one and more than one items.Thank you so much;Sunglasses;SHQ;Konga App
Delivery;;Easter Came Early Fashion;KWK;Desktop Web
;;0;KWK;Konga App
I have ordered a product since last week and i have not gotten a call to even confirm my transaction just like Jumia does, not to talk of receiving the stuff i bought. This is really dissatisfying ;;Women's Accessories;SHQ;Desktop Web
None yet;Just keep it up;Furniture;SHQ;Desktop Web
Nil;Konga is doing well, keep it up and improve more.;Categories;KWK;Konga App
NONE;;Mobile Phones;KWK;Desktop Web
During the final delivery to my house.;Most goods I had wanted to buy were out of stock. I suggest if any goods out of stock, it should be removed from the web until when restocked. ;Easter Came Early Fashion;KWK & SHQ;Konga App
With the delivery man;U guys should have customer service;Men's Shoes;SHQ;Desktop Web
Explaining my house address to the delivery person most times;Please can the Delivery cost be reduced a bit. It makes buying stuffs very difficult, and I've never gotten a discount;Alcoholic Beverages & Cigarettes;SHQ;Konga App
during purchase ;Konga is prompt in delivery ;Mobile Phones;KWK;Desktop Web
Delivery;;Tablets;KWK;Konga App
My goods have nt been delivered since almost 6days now but the services are ok;Make ur deliveries more faster;Phone and Tablet Accessories;SHQ;Desktop Web
;;Men's Shoes;SHQ;Konga App
Order cancellation and reordering ;The time frame in your system regards ordered goods being cancelled is jaw braking ;Women's Wear;SHQ;Desktop Web
;;Tablets;KWK;Konga App
nil;nil;Home Theatres and Audio Systems;KWK;Desktop Web
I have once bought a bad phone from Konga that was neither replaced nor repaired. I have bought a fan that has not been shipped (with the delivery person being rude);Access ur suppliers and delivery uits more carefully;Large Appliances;SHQ;Mobile Web
Yet to experience one....;Thank you for being there always............;Women's Shoes;SHQ;Desktop Web
When because of the absence of size charts,  I chose size 9 which is 42 in American sizing only to be told that your sizes are British and size 42 is size 8.5. and size 9, British 43 was delivered to me. I tried returning it for the right size and I was told the seller JK Shopping Mall refused and am stuck with an oversized shoe.;The sellers are the problem ;Christmas Shop;KWK;Desktop Web
during when I order for led TV 40inches and Samsung  tablet phone. within some second the cancelled my order without good reason.;please the should allow when order is placed on current price. the should allow us to obtain the items before influencing the items with new prices.;Phone and Tablet Accessories;SHQ;Mobile Web
Right now am having problem with konga a phone I bought since two weeks ago have not been delivered.;;Mobile Phones;SHQ;Mobile Web
;;Watches;KWK;Desktop Web
none;for now am OK compared. with other online mall that I have used.Keep it up;Large Appliances;KWK;Desktop Web
The order placed on the 7th and 8th of April, yet to be received till date;;Mobile Phones;SHQ;Desktop Web
I wish the item was delivered the same date it arrived the destination state, rather i had to wait till after the weekend to go collect my package after a missed call to me.;I ordered for ''call of duty black ops'' but i received ''call of duty black ops II''. The seller should stick to specific orders and not change them.;Games and Consoles;SHQ;Desktop Web
Poor and delayed delivery;;Large Appliances;KWK;Mobile Web
Delivery period as what was ordered wasnt the actual item delivered;Konga needs to monitor the items being sold  to customers because it is Konga that the Customer knows and not a dealer. The monitoring should be to the last stage of delivery.;Small Appliances;SHQ;Desktop Web
At point of delivery. Often times you get a text that your item will be delivered then they don't show and you get the 'sorry we couldn't reach you' message but you waited and nobody came. I had an experience in March where the merchant called and I told him that I would be around till 5pm. Then by 4:30 I call him and he says he's fixing his bike. That parcel didn't get to me until another 7 days. And it only happened because I called the Abuja office and expressed my displeasure.;1. Not to compare Konga with Jumia, I konga takes a longer time to deliver. Most times when I need an item in 5 days, I order from Jumia because I am of getting it between 3-5 days. For Konga, 7 days or more is a really long time for delivery within Nigeria.     2. The delivery rate of 1000 per merchant is really expensive. Sometimes I may be buying small items worth 4000 naira from 6 merchants and I end up paying 5000 naira for delivery. It gets rather discouraging.    Besides these points, I'm satisfied with the Konga shopping experience.;Home Furnishings;SHQ;Desktop Web
At the point of my last delivery. It was majorly affected by the fact that konga site was not updated with my correct details. Meanwhile they had delivered goods to me in the new address in recent times;Update data. Check quality of what is being purchased before shipping especially when it has to do with third party vendors.;Home Furnishings;KWK;Desktop Web
DELIVERY;;Mobile Phones;SHQ;Konga App
None;You are superb;Large Appliances;KWK;Konga App
At no point ;Konga is good at her trade. However, you can improve your delivery speed;Mobile Phones;SHQ;Konga App
;;Home & Kitchen Bundles;SHQ;Desktop Web
did not experience difficulty;keep it up;Cameras;SHQ;Desktop Web
Delivery ;Take steps to reduce wrong delivery or delivery guy arriving without the goods purchased.;Small Appliances;SHQ;Desktop Web
The manual exchange of returnables;There should be no corruption of product's pack's design by sellers;Games and Consoles;SHQ;Desktop Web
;;Sportswear;SHQ;Desktop Web
;;Mobile Phones;KWK;Desktop Web
Tried placing an order for a folding table.  Kept saying product was out of stock when the seller actually informed me they were still in stock. Finally gave up;If you are going to charge delivery for every product purchased. It's only fair that we are informed at the checkout before delivery;Kitchen and Dining;SHQ;Konga App
Delivery, gave my address and u don't get to call me when u get to d said address, the next e mail u will send me is that u missed me for that day. How I'm I suppose to know that someone came me if u don't call... huh?;Delivery, give ur delivery agents call cards to notify customers when they get to the supposed address. Pls also check the quality of your products too. Thanks;Large Appliances;KWK;Desktop Web
Nil;Nil;Hair Centre;SHQ;Desktop Web
Delivery timing was poor..very little communication;;Phone and Tablet Accessories;SHQ;Desktop Web
the memory card sent to me ie 32G wasn't good at all. i was so disappointed at the time.  i once ordered for a lenovo anroid tab (picture shown on the site) but a lenovo android laptop was shipped to me which i rejected;;0;KWK;Desktop Web
Tracking my order ;You guys are doing a good job, keep it up ;Tablets;SHQ;Konga App
delivery;it is okay but u guys can improve more  ;Small Appliances;KWK;Mobile Web
Any time I ordered I don't get what I ordered for     ;You should have branches like Abuja where we can pick up our goods   ;Men's Shoes;SHQ;Konga App
delivery;delivery of goods takes too long;Large Appliances;KWK & SHQ;Mobile Web
;;Large Appliances;SHQ;Desktop Web
Not yet. Just started shopping with konga.;They are doing well.;Large Appliances;SHQ;Desktop Web
Payment but that has been resolved with Kongapay.;I am satisfied but can we have the lowest rates possible as I see some products cheaper elsewhere? I need Generator but they aren't so pocket friendly.;Large Appliances;KWK;Desktop Web
None;Keep it up;Tablets;SHQ;Desktop Web
;;Mobile Phones;SHQ;Desktop Web
ABUJA CENTRAL CENTRE TO MY OFFICE. WORST IS LAFIA FEMALE STAFF WHO RETURNED MY ORDER TO LAGOS AFTER I REPEATEDLY TOLD HER THAT I'M IN FEDERAL POLYTECHNIC, NASARAWA NEAR ABUJA FCT AND NOT NASARAWA STATE POLYTECHNIC. YET SHE WAS ADAMANT AND ARROGANT TO HAVE RETURNED IT TO LAGOS. HOWEVER, I REORDERED IT AND IT HAS BEEN DELIVERED TO ME SINCE. THAT WAS A WRIST WATCH. I WILL NEVER FORGIVE THAT WOMAN BECAUSE THE MARRIAGE I BOUGHT PAST BEFORE IT'S SECOND SUCCESSFUL DELIVERY THAT CAME STRAIGHT FROM KAKU ABUJA FCT. HOWEVER, "IT'S KONGA FOR LIFE";PLEASE KINDLY HELP RESTOCK YOUR STORES WITH "NOKIA LUMIA 1520 PHABLET" FOR YOUR CUSTOMERS. WE ARE DESPERATE TO HAVE IT. PLEASE RECRUIT LITERATE AND NOT THOSE LIFE YOUR LAFIA FEMALE STAFF WHO'S A COMPLETE DAFT THAT CANNOT READ A SIMPLE ADDRESS. TNX. "KONGA FOREVER. YOURS FAITHFULLY, ENGR MIKE OHINI EJUGWU. ;Computing Accessories;SHQ;Desktop Web
;At least the delivery days shouldn't be more than two working day.;Mobile Phones;SHQ;Desktop Web
sometimes the network is not good while looking for some products.;upgrade your network to be available all the time.;Toys & Activities;SHQ;Desktop Web
I did not experienced any difficulty.;I think kitchen wares and some hair products should be cheaper so that the price margin with the outdoor market will not be much also the shipping price of orders within Victoria Island should be reduced so as to enable people with lower income living within this axis will also be able to shop.  Thanks.;Small Appliances;KWK & SHQ;Desktop Web
;;Computing Accessories;SHQ;Konga App
No problem;The shipping fee is too high;Women's Accessories;SHQ;Mobile Web
No time;Satisfactory;0;KWK;Desktop Web
;;Watches;SHQ;Desktop Web
when you want to buy something and it can't be shipped to you;the thing are too expensive so people love using jumia ;Men's Wear;KWK & SHQ;Desktop Web
haven't difficult;for the first time the woman I met respond to me very well and my good she booked deliver to me without strech;Large Appliances;KWK & SHQ;Desktop Web
None;You guys are the best;Health;SHQ;Mobile Web
I ordered for an important shoe, i paid using Konga pay, but to my dismay, i was told the order was counselled. ;try and train and re train your merchants.....they are the major problems you are having. verify your merchants.;Men's Shoes;SHQ;Desktop Web
;;Women's Shoes;SHQ;Desktop Web
At the point of registering on Kongapay so as to benefit from further reduces charges. Am still unable to register. I have also not benefited from the discount given to new customer.;Personal follow up of customers through phone calls, to remind customers of their orders. ;Large Appliances;KWK;Desktop Web
12;;Automotive Parts & Accessories;SHQ;Desktop Web
At point of ordering and not delivered ;I think Konga needs to follow up on their delivery guys. I said this because I ordered a phone 2wks back and was expecting it,days after I tracked d order n I was told I've cancelled it of which I didn't. I had to re-order coz I love Konga.;Mobile Phones;KWK;Desktop Web
;;?Baby Essentials;SHQ;Mobile Web
;;Easter Came Early Fashion;KWK & SHQ;Desktop Web
Getting product details is not friendly;Pricing is on the high side  Product details is poor  shipping cost should be reviewed for low-priced items.;Automotive Parts & Accessories;SHQ;Konga App
;;Kitchen and Dining;SHQ;Mobile Web
"point of receiving my shipment. The de;livery people even lied about me rescheduling my shipment when in actual factr they never called to tell me they were coming. All of a sudden, they said delivery rescheduled by customer. This is the height of irresponsibility and poor customer service. You are free to lie but lying blatantly about what a customer did not request for is the height of recklessness";The customer is the business. The customer is what makes the business tick. if you reduce customers to irrelevance, then its a matter of time before your business is dead;Men's Wear;SHQ;Desktop Web
Delivery;;Small Appliances;SHQ;Desktop Web
;;Projectors & Accessories;SHQ;Mobile Web
Return of a product .;I think your re-sellers should be proactive enough. You guys should teach them how to use the right descriptions for a product.  ;Tablets;KWK & SHQ;Desktop Web
;;Phone and Tablet Accessories;SHQ;Desktop Web
at the point of delivery, shipping cost and cost of items is much more expensive compare to other site like jumia, kaymu, aliexpress etc;Price of items should be reviewed;Generators & Power Supplies;SHQ;Desktop Web
The shipping fee is just too much and this new pattern of paying a separate shipping fee Individually for each item purchased from a different shop is ridiculous.;One shipping fee should cover for all item shopped for at a time and if items could be delivered on time,it would be really nice.;Makeup;SHQ;Mobile Web
First the app makes it difficult to pick out products. Once you click on a product, and go back to continue from where you stopped, it takes you back to the beginning which is very frustrating. It takes way to long for you to get your package. My package arrived my city since Thursday, and I am yet to get my package. This is totally unacceptable. ;Kong needs to work on their delivery time especially for those outside Lagos. It is funny to pay delivery charges for each product you just want just because it is from different retailers. I suggest you upgrade your app so that it will be easier for customers to pick out different products from one retailer. Honestly with the experience I am having, I doubt I will recommend someone to use Konga. ;Home Furnishings;SHQ;Konga App
;;Hair Centre;SHQ;Desktop Web
Interaction with sales, delivery , and customer service not returning calls ;The concept of buying online to deliver to customer is a brilliant idea well practiced and delivered by ARGOS in London and all over United Kingdom, and all over USA. .  This is a very simple concept but like everything in Nigeria it has turned upside down. Konga should buy on behalf of its customers and distribute directly not involve a third party called Seller into the equation. Send someone/body to UK to study how efficiently run the system works. Good Luck. if properly run it would be the best ever in Nigeria ;Phone and Tablet Accessories;SHQ;Desktop Web
konga pay;;Computing Accessories;SHQ;Desktop Web
Delivery fee too high and much delay in the delivery.  Order arrived Akure on Thursday, Order hasn't arrive my destination the following Monday noon, which is bad.;Reduce the delivery fee to normal as before.  Accumulated orders should attract 1 or less than 1.5 delivery fee.;Mobile Phones;KWK;Mobile Web
Lack of effective communication channeld and poor delivery management;Konga, I really regret buying something form your site 12 days ago order no. F659205693001 and it may be the last one.    I call all the numbers on your email and the suppliers phone number but not reachable. I got lucky calling 01 460 5555 after IVR responses and waiting for minutes, then picked by one Customer Care named Omolola, she just hang-up on me before I can even mention my name, that my line was not clear.    This is utterly unprofessional, because to date I have no idea what is going on after payment of N137,000:00 almost 2 weeks ago.    I will use this message as final notice, that by closure of work today, if my order is not delivered, I will cancel the order.;Generators & Power Supplies;SHQ;Desktop Web
Using my gift voucher and part of my order was cancelled and still unable to use the voucher again.;I sent a mail using the help line but I'm yet to get a reply.;Generators & Power Supplies;SHQ;Mobile Web
;;Mobile Phones;KWK;Mobile Web
Narrowing the Search for items to purchase ;Improve your website design to enable easier search for clothing by size;?Baby Essentials;SHQ;Desktop Web
It was  when i tried to use my phone to pay through voucher, no respond to show it has been accepted or rejected till i used desk top computer;Please faulty items should be accepted back as soon as possible if the product has fault not caused by the buyer, it shouldn't take a whole week to be addressed or rejected nor repaired and returned back, because it might still hv the problem again,,  ;Tablets;KWK;Mobile Web
weekend delivery;Your concept is good, but you can improve on the time of delivery of products at weekends.;Printers, Scanners and Accessories;SHQ;Desktop Web
Number of delivery days and connecting with the delivery agent;Pls mk ur delivery days shortor n ur delivery agents more effective... ;Mobile Phones;KWK;Mobile Web
;;Women's Shoes;SHQ;Desktop Web
;i suggest your delivery company should have an office here in Aba. i was tracking  my order and saw that when it arrived porthacourt, it still had to go umuahia before being brought to Aba. Aba is closer to porthacourt.  Also, i know your maximum delivery time should be 7days, but when you can be faster, be faster. im saying this because when tracking my order i saw my order took two days to arrive at umuahia from porthacourt which was supposed to be at least 4hours.;Games and Consoles;SHQ;Desktop Web
;;Mobile Phones;KWK;Desktop Web
None; am being asked to rate a product I ordered 4 days ago and I am yet to receive?The delivery time on Konga is very slow. Either the merchants are slow in dropping off at Konga Centres or Konga themselves ,your delivery time is too long especially  for Lagos  customers whose locations are centrally located and easily accessible. Secondly, the self tracking option should be added. Why should I have to call to track  my order having paid so high for delivery? compared to other online stores. I only use Konga when I can find  what I want or went I am looking for the cheapest price for a particular product similar to other online merchants.;Kitchen and Dining;SHQ;Mobile Web
when a customer service representative called me on Saturday and he could not articulate the issues i had and was trying to put the blame on the merchants that were using the Konga platform to sell their goods;I don't think it is a good idea that for all items order, i had to pay 750 Naira delivery charge for each and all otems was to be delivered seperately. ;0;SHQ;Desktop Web
;;Women's Accessories;SHQ;Desktop Web
A message was sent to me on Saturday 9th of April that my order has been shipped to sango Ota sorting center that I should call. When I did they told me they couldn't come to ilo Awela that day that on Monday they would. ( I have paid with kongapay) now today is Monday they are telling me my order has been cancelled, and the woman at the center is sounding non chalant. Am a bit scared have been scammed. And if this is not responded to I will be very disappointed ;A message was sent to me on Saturday 9th of April that my order has been shipped to sango Ota sorting center that I should call. When I did they told me they couldn't come to ilo Awela that day that on Monday they would. ( I have paid with kongapay) now today is Monday they are telling me my order has been cancelled, and the woman at the center is sounding non chalant. Am a bit scared have been scammed. And if this is not responded to I will be very disappointed ;Makeup;SHQ;Konga App
Last week ;Had a transaction with Konga last week but felt bad that the product I requested for wasn't delivered but canceled without letting me know before time even after sending an email of complaint which was never replied.;Women's Accessories;SHQ;Mobile Web
no difficulty encounter ;The receipt of the good was damaged using silo tape to bind it to the carton.  The receipt should have been inside the carton while the way bill carrying the name of the goods' owner silo tape to the carton. As I write to you I don't have the authentic receipt of my LG TV.  This information is very important in case of goods been stole ;Televisions;SHQ;Desktop Web
June 30th 2015 when one of your mechant played me by asking me to credit his account and all my effort contacting your guys to help me out was in vein because you guys were not customer friendly as at then so I lost almost 40,000 Naira just like that, well I am still shopping with u gguys but I am not happy at all with KONGA ;Find a way to examine the quality of the products b4 they are displayed online because I have personally bought a product 1k and in Konga it's 3k plus 3k shipping making it 6k WOW, that's too bad.;Mobile Phones;KWK & SHQ;Konga App
No;On problem;Mobile Phones;KWK;Desktop Web
 After a week, I still do not know if one of the item I ordered for is available or not.;Do let customers know on time if products are not available. Not keeping quiet about it.;Desktop and Monitors;SHQ;Desktop Web
;;Large Appliances;KWK;Konga App
Unable to ship your ordered goods on time except the ones sold by konga itself. ;Try to ship the goods on time and the delivery period is too far;Laptops;SHQ;Mobile Web
Tracking goods;;Tablets;KWK & SHQ;Desktop Web
;;Mobile Phones;SHQ;Desktop Web
Having to make cash payment as most of your delivery men do not carry POS machine;Delivery cost is too high  Buyers should be able to split order and pay for the one that meets their expectation upon delivery.;Easter Came Early Fashion;KWK;Desktop Web
When an order is cancelled without informing the customer.;There is need to review your shipping fee for you to continue to be competitive.;Large Appliances;KWK;Konga App
;;Makeup;SHQ;Desktop Web
Delivery;;Computing Accessories;SHQ;Desktop Web
None;;Mobile Phones;KWK;Desktop Web
;;Kids Clothing and Accessories;SHQ;Desktop Web
Late delivery from a reseller ;Good customer support and service;Tablets;KWK;Desktop Web
After delivery and the product has a problem.Example is the lordbex power bank just delivered to me on Saturday . Torch lights don't function in both items.Need konga action asap.;Stop incessant cancellation of orders,particularly when a customer is already waiting to receive an item.This is too bad.Take action when customer complains about an item.;Mobile Phones;SHQ;Konga App
nothing like difficulty yet;not really happy with the transportation charged on me;Televisions;KWK;Desktop Web
;;Watches;KWK;Mobile Web
Delivery ;;Phone and Tablet Accessories;SHQ;Desktop Web
;;Large Appliances;KWK;Mobile Web
;The delivery time is so long compared to ur competitors like jumia;Easter Came Early Fashion;KWK & SHQ;Mobile Web
SOME OF YOUR MERCHANTS ARE VERY RUDE. THE MERCHANT THAT DELIVERED MY CHEST FREEZER 99L WAS VERY IMPATIENT. I GOT HOME AND WANTED TO OPEN MY DOOR BUT THE KEY WASNT OPENING ON TIME. HE DIDNT SYMPATHIZE RATHER HE WAS JUST ANGRY AND TALKING RASHLY. ;PLEASE TRY AND WORK ON REDUCING THE SHIPPING FEE IF I ORDER FOR SMALL PRODUCTS AND/ I ORDERED FOR LIKE 5 PRODUCTS WITH THESAME ADDRESS EXPECIALLY PRODUCTS FROM KONGA. THANKS. GOOD AND PROPER SCREENING SHOULD BE DONE FOR YOUR WORKERS THAT DELIVERS PRODUCTS/ DRIVERS  BEFORE YOU EMPLOY THEM. THANKS;Large Appliances;KWK & SHQ;Desktop Web
Reaching the number of the goods pick up point. ;Multiple items from different sellers, should be delivered at the same time.  There shld also be an option for pple to pick up the items from the pickup points. the number provided is unreachable (Port harcourt eleme branch);Easter Came Early Fashion;KWK & SHQ;Desktop Web
Slow access speed which i think doesn't have to do with konga but the service providers;Reduce shipping fee. ;Kitchen and Dining;SHQ;Mobile Web
My problem with Konga is just the delivery aspect, the first time I bought something on Konga, it was delivered after a week and they were complaining of how far my place was, I should come pick them up.;Will always love to shop on Konga provided the quality of the goods is okay.;Large Appliances;KWK;Konga App
;;Fragrances;KWK & SHQ;Desktop Web
I don't have any difficulty during my transaction with konga.;You're doing the best Keep it up;Home Theatres and Audio Systems;KWK & SHQ;Konga App
No difficulty at any point;Good work, keep it up;Easter Came Early Fashion;SHQ;Mobile Web
Wrong product and very late delivery ;Deliver the right order and on time ;Large Appliances;SHQ;Mobile Web
;;Mobile Phones;KWK;Desktop Web
Delivery. The delivery agent claimed the vehicle broke down. Delivery was delayed for about 3days.;Delivery should be hastened(1-3days max). Cost seem high compared to Jumia. Pls review.;Mobile Phones;KWK;Mobile Web
;Delivery speed should be increased ;Large Appliances;SHQ;Desktop Web
;;Mobile Phones;KWK;Mobile Web
Delivery most times ;They should work more on improving delivery time;Laptops;KWK;Konga App
It takes to long before the goods get here;Bring the goods on time;Games and Consoles;SHQ;Mobile Web
Time taken between order and delivery;;Alcoholic Beverages & Cigarettes;SHQ;Konga App
when it got to the delivery fee;I think konga should include coupons when delivering their items to encourage people to use the coupons to buy more items;Phone and Tablet Accessories;SHQ;Mobile Web
None;The only problem I have is the shipping fee. Most times I order for a small package & the shipping fee is almost the amount I am paying for the package. Please work on this in order to keep your good customers. ;Large Appliances;KWK & SHQ;Mobile Web
As a seller, order F049947538001 places on the 4th Nov 2014, was never delivered or returned and up till now, konga care staff keep giving excuses for the (almost) 2year delay. Very demotivating. As a buyer, order: NUMBER  F383232341001   And NUMBER  F499443789001 were orders which stalled forever and never shipped. I haven't exactly had a great experience buyer from merchants who aren't konga.;It would be awesome if i could finally get a refund forF049947538001 instead of more excuses (as I expect). It would also be awesome if there was a way to check certain seller's items on the site. I have had better experiences buying from konga -as a merchant - not buying from individual sellers on the platform;Mobile Phones;SHQ;Desktop Web
In My Kong application the "My Order" space is not opening ;Something should be done about the Konga Application to work faster and Better. ;Mobile Phones;KWK & SHQ;Desktop Web
Non;Nil;Health;SHQ;Desktop Web
I had problems with merchants not delivering what I ordered for;;Personal Care;SHQ;Desktop Web
;Include your shipping in your prices where it appears to be a flat rate anyway.;Personal Care;SHQ;Desktop Web
None;Keep it up ;Women's Wear;SHQ;Mobile Web
I'm to experience "most difficulty" in any of my transaction with konga ;Please make a review of your prices because that's the major reason why people are going for you. Thanks ;Men's Shoes;SHQ;Konga App
I ordered for a product and shortly been disappointed because it wasn't available. You should confirm availability of products before you send an email informing the buyer that is ordered Items is on the way.;Confirm the availability of ordered product before informing the buyer to avoid disappointment. ;Health;SHQ;Mobile Web
Perfect;Your sellers should Try and improve on the product they sold out to there  customers, cuse mostely they sold out low quantity. ;Phone and Tablet Accessories;SHQ;Desktop Web
;;Kitchen and Dining;SHQ;Mobile Web
;;Home Furnishings;SHQ;Konga App
To get my package ;;Women's Wear;KWK & SHQ;Mobile Web
Nill;Ok.;Mobile Phones;KWK;Desktop Web
None;;Women's Accessories;SHQ;Mobile Web
I always have issue with Konga when its come to returning an Item....  at side from you going to drop the Item at a stipulated center it will take nearly a month to get the voucher or your money back!( unlike other online shop at will come to your location to pick the item themselves and within a week they will refund your money);well Konga is great but there is need to do better... for instance if someone is buying more than one item and since all item are going to thesame customer it doesnot make sense charging delivery cost per item;Solar & Alternative Energy;SHQ;Desktop Web
misinterpretation by the konga team. i placed an order to be delivered to Abuja only for me to be called by KOS that my delivery will be at yaba. as i speak to you now, am yet to get a reply from Konga.;;Fitness;SHQ;Desktop Web
;;Personal Care;SHQ;Desktop Web
None...;Searching for a specific product should be easier and d categories should be more detailed and available for all products... Especially sports!!! ;Toys & Activities;SHQ;Mobile Web
At the point of interaction with your customer support regarding the delivery times of the products. Your website does not give any options for express delivery.;You need to improve on your delivery timelines as well as the interface between your customer support services and the actual delivery processes.;Generators & Power Supplies;SHQ;Mobile Web
one time ;Kongo are times the service is corrupt ;Personal Care;KWK & SHQ;Desktop Web
None for now;Mmm..I still look forward to express delivery.where one can place an order and it will be delivered within fourth eight hours,latest. So far I commend kos.you guys are wonderful;Mobile Phones;KWK;Mobile Web
Shopping and delivery;Is like example sha, if I Order any items on jumia instance I wil received a call for them, but Konga didn't do so. Pls make an adjustment on that particular things sha.. thanks;Personal Care;SHQ;Mobile Web
ORDERS TO BE SUPPLIED THROUGH DISTRIBUTORS ARE MOST TIMES CANCELLED, ESPECIALLY WHEN THE PRICE IS A BIT HIGH;AFTER REGISTER FOR KONGAPAY, I WAS NOT ABLE TO USE IT TO PAY FOR DEEP FREEZER IMMEDIATELY;Large Appliances;SHQ;Desktop Web
Delivery is too slow. Sometimes the customer ends up spending the money he saved before the goods arrive. ;make prices comparable to other on-line shops. And make delivery at most a week ;Large Appliances;KWK & SHQ;Desktop Web
when trying to register online and when trying to login including tracking my order;I suggest konga should reduce the shipping rate and make delivery faster by reducing the days especially for those living in lagos;Mobile Phones;KWK;Konga App
None;;Large Appliances;KWK;Mobile Web
Different product delivered than that on the picture;High prices;Large Appliances;KWK & SHQ;Mobile Web
At delivery point. What I ordered for was not correctly delivered in term if size and quantity specified on the product picture ;;Personal Care;SHQ;Mobile Web
poor quality of product and poor customer service unit;;Men's Wear;SHQ;Desktop Web
During my  order  of protector glass  s7 edge ;;Phone and Tablet Accessories;SHQ;Konga App
Went. I order for chichi cutting. Machine ;My own suggestions. Is that konga should try their possible. Best to provide. Quality. Product. For their customers. And also minimize. Their prices and shipping. Fees and they should. Also try and let their customers get what they order for in time thanks ;Mobile Phones;SHQ;Konga App
Delivery;;Mobile Phones;KWK & SHQ;Konga App
Delivery takes almost a week within lagos;;Watches;SHQ;Desktop Web
Signing in to KongaPay after forgetting my password. Sorting search results;When I click on a search result to read the details of a product and then go back to the results page, the page should scroll to where I was, not back to the beginning of the results page.;?Baby Essentials;SHQ;Mobile Web
;I wasn't satisfied with what I bought the quality of the products are really bad;Sports;SHQ;Desktop Web
;;Hair Centre;SHQ;Konga App
Delivery;;Personal Care;SHQ;Desktop Web
Delivery within lagos is very poor.;no comment as i haven't receive my goods yet from 7th till date.;Tablets;SHQ;Desktop Web
At No point.;Immediately I ordered online, I was expecting a call to confirm my order but I did not get it.;Books;SHQ;Desktop Web
There was a time tired using kongapay to pay for my shipment and was ban from using it, I was refferred to the customer Kia it took days to get the problem rectified. ;Well generally the product and services are okay but improvements needs to be made in the area of shipping fee and delivery timing. Also, when a promo has expired kindly endevour to remove it as shopper are always looking for good of value at low cost, it show distrust when a promo has expired and when you gets to your checkout point you find out the product no longer available or it has added price also Kong should work on removing unwanted good from shopping cart as I in several occasion experience difficult in removing them via different platform especially via konga app;Electronic Accessories;SHQ;Mobile Web
None;None;Electronic Accessories;SHQ;Desktop Web
;;Small Appliances;KWK & SHQ;Desktop Web
Nil;Keep up the good work ;Kids Clothing and Accessories;SHQ;Konga App
;;Women's Shoes;SHQ;Konga App
I ve dashed out all my konga items... why?the product quality is like that of Aba made.... honestly I am disappointed in konga.... I ordered a rebel crop top for 4900, last week.... wore it to church yesterday and it's turn already..... The shoes are worst. ..... anyways I dashed them out so I won't be seeing them again.. The truth Is I prefer jumia items 100% their products have supper quality..... will recommend their items to friends any day anytime.... I am sorry but I ve to tell u the truth. ... u guys need to upgrade especially in your product quality;I am highly disappointed in konga;Easter Came Early Fashion;KWK;Mobile Web
